hauteur bloc provenance
137 b1 pr1
165 b1 pr2
145 b1 pr3
165 b1 pr4
142 b2 pr5
149 b2 pr6
151 b2 pr7
137 b2 pr8
136 b3 pr1
163 b3 pr2
141 b3 pr7
152 b3 pr8
141 b4 pr3
166 b4 pr4
151 b4 pr5
159 b4 pr6
134 b5 pr1
138 b5 pr3
152 b5 pr6
144 b5 pr8
171 b6 pr2
157 b6 pr4
142 b6 pr5
136 b6 pr7
142 b7 pr1
169 b7 pr4
158 b7 pr6
137 b7 pr7
173 b8 pr2
141 b8 pr3
146 b8 pr5
140 b8 pr8
144 b9 pr1
163 b9 pr2
145 b9 pr5
144 b9 pr6
129 b10 pr3
160 b10 pr4
146 b10 pr7
150 b10 pr8
159 b11 pr1
147 b11 pr3
156 b11 pr5
162 b11 pr7
174 b12 pr2
160 b12 pr4
157 b12 pr6
147 b12 pr8
133 b13 pr1
162 b13 pr4
141 b13 pr5
152 b13 pr8
164 b14 pr2
128 b14 pr3
139 b14 pr6
139 b14 pr7
